,name,fold,Direction,tstat,pvalue,FDR,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,LCC1,LCC9,20130426_AYESHA_CELL_NEG_1701,20130426_AYESHA_CELL_NEG_1801,20130426_AYESHA_CELL_NEG_1901,20130426_AYESHA_CELL_NEG_2001,20130426_AYESHA_CELL_NEG_2101,20130426_AYESHA_CELL_NEG_501,20130426_AYESHA_CELL_NEG_601,20130426_AYESHA_CELL_NEG_701,20130426_AYESHA_CELL_NEG_801,20130426_AYESHA_CELL_NEG_901,20130426_AYESHA_CELL_NEG_1101,20130426_AYESHA_CELL_NEG_1201,20130426_AYESHA_CELL_NEG_1301,20130426_AYESHA_CELL_NEG_1401,20130426_AYESHA_CELL_NEG_1501,20130426_AYESHA_CELL_NEG_2301,20130426_AYESHA_CELL_NEG_2401,20130426_AYESHA_CELL_NEG_2501,20130426_AYESHA_CELL_NEG_2601,20130426_AYESHA_CELL_NEG_2701,isotopes,adduct,pcgroup
1845,M914T595,2.323756852,DOWN,-11.6532231,4.63E-09,9.32302E-06,913.5841214,913.5813313,913.5869313,595.0640031,594.5670018,598.2729936,20,10,10,16416.90338,19214.8531,15592.25644,20851.17641,19105.72908,15675.68691,15951.23517,13895.06577,19692.53928,16744.35833,6105.694073,8033.622856,4410.152369,8931.277274,7214.422621,8399.229201,8317.697853,6701.8888,9243.239352,7151.347234,[389][M]-,[M-H]- 914.597,1
1848,M915T595,2.134516315,DOWN,-9.069776682,1.87E-07,0.000188282,914.5868354,914.5807519,914.5888958,595.0100161,594.3129759,598.1010277,16,10,6,8255.09859,9370.215339,6933.489547,10796.59723,9001.204862,7646.719858,8194.242896,6317.9598,9643.266515,9402.118757,4203.565698,3402.980268,3026.368134,5044.949962,5071.109276,4806.398715,3663.347234,2910.552523,3419.965157,4535.213449,[389][M+1]-,,1
1841,M912T592,2.187844153,DOWN,-8.717056784,3.26E-07,0.000218632,911.5673929,911.5637366,911.5713721,591.7299964,591.3450264,594.7160196,18,10,8,11716.51998,8134.193111,10570.01624,12954.89708,11440.60864,9435.376633,7959.215103,11652.74745,13276.2334,10928.24157,5881.028957,3009.165028,4086.237637,6107.544159,4252.621348,5752.261331,4665.97219,5424.936829,6271.357628,3943.640546,[387][M]-,[M+Cl]- 876.59,8
1843,M913T592,1.886880122,DOWN,-7.338336596,8.31E-07,0.00033956,912.5718066,912.5675116,912.5751972,591.7389951,591.3450264,594.7160196,13,8,5,5687.30826,4192.469045,5936.183884,4990.607665,5434.742084,4604.846589,5084.338665,4333.193841,6517.175427,4568.562817,3075.853419,2092.218115,3068.942935,3597.99048,1747.900072,2614.500144,2725.656608,3496.884127,3248.475547,1545.511059,[387][M+1]-,,8
1911,M954T607,2.379838986,DOWN,-8.784174543,8.43E-07,0.00033956,953.6985803,953.6909854,953.7086342,607.0579796,605.6229817,608.8350041,15,10,5,5861.097541,7509.018192,6296.12424,6191.005686,7309.223725,7089.066573,6000.743026,6534.411572,3301.092112,6218.418264,3072.039807,3067.731146,2562.117813,2152.212505,2847.751655,3364.048069,1718.74947,2731.110692,2880.169816,1786.597045,[413][M]-,[M+Cl+NaCOOH]- 850.74 [M-H+NaCOOH]- 886.717,32
1515,M770T585,1.824080127,DOWN,-8.452916469,1.39E-06,0.000465871,769.5042124,769.5015021,769.5051876,584.6929851,584.1530191,587.0579837,19,10,9,16861.61905,17543.56806,12206.10837,16733.28434,20344.26805,16693.99958,18568.90635,12290.61446,16210.57304,16230.30333,9323.839091,8131.124093,9148.257264,8283.498845,11354.32578,9012.145541,9123.869049,7481.532862,7691.197699,10184.88877,[286][M]-,,309
1781,M884T605,2.449043729,DOWN,-9.592546479,1.63E-06,0.000467935,883.6999326,883.697949,883.7048794,604.557509,603.5849722,606.3780254,20,10,10,52463.23186,69613.14399,80104.36697,54817.36421,76202.35179,45606.85692,60429.46079,72190.42373,51685.45246,70913.79921,22840.17392,22938.58561,28606.95443,21647.80486,29575.85792,23719.76863,24104.01887,31254.11691,25017.27665,29182.79668,,[M-H-CO]- 912.695,9
1640,M822T585,1.932935823,DOWN,-6.615359482,3.37E-06,0.000847142,821.5403391,821.5366904,821.5485403,585.3210136,584.0640178,589.1709761,11,7,4,5070.786267,5834.103896,4808.920871,5341.27092,6444.256921,5698.82218,5996.981451,4265.951687,3739.991306,5022.879097,2154.186535,3187.620495,1395.128685,2897.749547,3847.888106,3126.733727,2022.527257,1573.850445,2901.096754,3911.169057,,[M-H]- 822.543,44
1716,M858T589,1.392462675,DOWN,-7.034319346,5.00E-06,0.001117426,857.5215429,857.5195257,857.5233714,588.8890026,587.8390251,592.0750142,20,10,10,18178.86682,19605.2208,19310.34592,17984.16611,19198.90919,16945.7312,17260.34945,17849.90932,16237.62485,19362.51885,14062.3403,10576.30632,10941.47767,12401.83736,14256.59634,14429.95356,11655.43117,11196.4539,16655.23648,14480.39508,[350][M]-,[M+Cl+CF3COOH]- 688.554,2
1822,M900T606,2.569773658,DOWN,-6.458807995,6.54E-06,0.001317248,899.6713009,899.6667962,899.6832138,605.7229817,605.3079831,606.3239912,7,0,7,15332.14379,24576.21164,26299.34541,15950.38764,25324.05191,14929.03109,22611.31644,24238.18488,15071.75912,26232.64882,7318.758438,6372.831574,7446.623749,3431.997643,14707.13279,5854.608333,9174.469781,12431.13784,3570.592691,11631.00166,[381][M+1]-,,13
