,name,fold,Direction,tstat,pvalue,FDR,mzmed,mzmin,mzmax,rtmed,rtmin,rtmax,npeaks,LCC1,LCC9,20130426_AYESHA_CELL_POS_1001,20130426_AYESHA_CELL_POS_1101,20130426_AYESHA_CELL_POS_1201,20130426_AYESHA_CELL_POS_2001,20130426_AYESHA_CELL_POS_2101,20130426_AYESHA_CELL_POS_2201,20130426_AYESHA_CELL_POS_2301,20130426_AYESHA_CELL_POS_2401,20130426_AYESHA_CELL_POS_801,20130426_AYESHA_CELL_POS_901,20130426_AYESHA_CELL_POS_1401,20130426_AYESHA_CELL_POS_1501,20130426_AYESHA_CELL_POS_1601,20130426_AYESHA_CELL_POS_1701,20130426_AYESHA_CELL_POS_1801,20130426_AYESHA_CELL_POS_2601,20130426_AYESHA_CELL_POS_2701,20130426_AYESHA_CELL_POS_2801,20130426_AYESHA_CELL_POS_2901,20130426_AYESHA_CELL_POS_3001,isotopes,adduct,pcgroup
4460,M841T598_2,1.467815944,UP,14.68266176,8.05E-11,3.62005E-07,840.6475394,840.6455872,840.6490486,598.434503,598.1989996,598.7580037,20,10,10,173376.5104,157028.6865,145916.3025,162201.0397,155822.0857,169119.1717,158855.4162,145422.4143,157807.8234,168899.249,225805.4414,248896.0436,253334.0401,230896.0351,239890.4881,218903.2316,231442.4517,241272.1075,211202.6472,238714.7366,[879][M]+,[M+H]+ 839.641,7
4465,M842T599,1.386443778,UP,12.86156099,1.89E-10,4.24914E-07,841.651178,841.6498107,841.652253,598.5175105,598.2299724,598.7580037,20,10,10,102040.7358,86889.85436,84270.05454,86549.83939,88792.18752,94030.24625,85527.8018,80088.5602,84484.47838,92687.49494,120067.0812,123709.9286,132111.2067,120699.5506,126351.5171,114443.2502,124878.7972,128015.6954,114315.5072,122911.0665,[879][M+1]+,,7
4455,M840T603,3.066043712,DOWN,-15.8698985,1.69E-09,2.52738E-06,839.7025508,839.7015406,839.7046854,603.2345077,602.9260254,603.591024,20,10,10,528595.2769,428948.8319,517419.4956,372494.1919,449718.0074,507920.9424,409127.5326,502525.8444,387195.7936,459846.2724,151742.0754,112807.3088,193306.7396,148569.2968,147014.1131,136992.8501,136790.58,185388.5519,143334.721,132549.2375,[878][M]+,,4
4461,M841T603,3.873272462,DOWN,-12.7984469,1.02E-07,0.000114295,840.7043734,840.7023623,840.7240735,603.405024,602.8940227,607.4039714,20,10,10,310147.8128,205883.9629,280408.4632,217616.0502,264741.7996,246916.1884,195754.8104,251093.3871,169780.6657,238804.7931,58160.09146,54574.31455,88165.34868,58812.73333,67309.21719,53743.07152,49753.77642,68770.65888,67666.2472,47808.40182,[878][M+1]+,,4
3640,M723T608,2.492729464,UP,9.047058774,2.12E-07,0.000190641,722.6641101,722.6584846,722.6662664,607.9709932,607.6829987,609.0390218,15,6,9,6193.734123,6955.807532,8805.435143,8200.346845,7458.204434,8626.27032,3897.017047,8245.905739,5240.489194,10959.01712,18756.42936,17862.5791,23074.77436,14420.33273,19843.7153,19888.89828,14247.67035,24347.77798,16612.61477,16858.52375,[674][M]+,[M+Na+HCOOH]+ 653.669,46
4446,M838T604,2.349697098,DOWN,-8.031086913,7.85E-07,0.000588206,837.6943627,837.684162,837.6986228,603.6540199,601.7070036,606.5630014,13,9,4,29114.58564,44229.51797,51990.25039,32934.25884,32498.82259,33692.37898,37714.7261,43189.73764,30768.77138,38401.84994,19270.25333,9449.304627,23307.99431,9461.938391,17591.34525,19686.28874,13800.13674,12996.0027,16986.37326,16847.46103,[874][M+1]+,,4
4451,M839T605,1.921048911,DOWN,-8.793046683,1.12E-06,0.000634711,838.713508,838.7112108,838.7174351,604.8629961,604.4919777,605.400009,20,10,10,202089.848,152756.3442,193338.6081,132598.7026,158916.7482,195977.5945,147885.7057,188475.25,134767.3,156352.8318,83944.57341,78771.41407,111517.3891,79082.76852,84935.07463,81579.70509,80186.79073,103856.1419,85081.62986,76800.1544,,[M+H+HCOOH]+ 791.701,12
4059,M778T608,2.208833341,DOWN,-7.323574478,1.13E-06,0.000634711,777.7795897,777.7665644,777.7853619,607.9709932,607.4379768,608.8939891,19,10,9,6808.805099,7524.43584,6194.459804,6770.268033,7404.446108,8089.822612,6470.386254,4973.930929,6319.551155,8478.609735,3088.79994,2848.435973,4045.160946,4947.250828,1683.032683,4229.203228,1855.633175,2496.374846,4623.373059,1436.662126,,[M+H+HCOOH]+ 730.78,46
3815,M747T623,3.094601875,UP,9.966502083,1.53E-06,0.000766606,746.6795268,746.6711633,746.6850916,622.5849771,621.4499812,623.337973,7,0,7,821.2696928,987.78526,709.4354283,963.6290659,793.2393663,924.7482596,783.4411657,1069.242299,1188.494799,904.1167108,2921.76225,3588.754894,2259.507244,2371.449485,3172.316405,3516.520217,2247.721053,1933.885798,2936.607163,3352.85382,,,424
4196,M795T605,2.130769529,UP,8.245665665,2.95E-06,0.001326041,794.686095,794.6799736,794.689562,604.8974981,604.4919777,605.812009,18,8,10,17308.15642,14079.43394,14505.87749,14600.98415,13527.50947,19214.30119,12041.43373,14994.24285,10884.22755,14394.95596,23672.86384,31867.99052,36673.58001,28213.62519,37006.42151,22347.64579,34212.93293,35287.36035,24373.36488,36480.11218,[812][M]+,[M+K]+ 755.713,12
