probeset_id,gene_symbol,pvalue,FDR,logFC,LCC1-P18.CEL,LCC1-P19.CEL,LCC1-P20.CEL,LCC9 -P12.CEL,LCC9 -P13.CEL,LCC9 -P14.CEL
201147_s_at,TIMP3,1.16068E-12,6.14442E-09,-5.660307136,10.15381986,10.21816926,10.21174005,4.670773294,4.390153827,4.541880645
202411_at,IFI27,1.21366E-12,6.14442E-09,5.582485314,6.790248666,7.041113189,6.801263426,12.47427736,12.45063194,12.45517193
202458_at,PRSS23,4.97875E-13,6.14442E-09,5.049191296,7.356959834,7.421332193,7.389277884,12.38679572,12.51525907,12.413089
205513_at,TCN1,1.22692E-12,6.14442E-09,5.500418348,4.137653125,4.005759307,4.137653125,9.481107338,9.711727045,9.589486218
231265_at,COX7B2,1.31169E-12,6.14442E-09,4.717006541,4.509957857,4.526558916,4.593641054,9.167112359,9.315136163,9.298928929
205239_at,AREG /// AREGB,1.74315E-12,6.80108E-09,5.266797406,6.815311514,6.915400045,7.040496915,12.12048613,12.17436605,12.27674852
203914_x_at,HPGD,2.22904E-12,6.97697E-09,5.213910893,4.97638259,4.839495432,5.119440197,10.2285247,10.16322466,10.18530154
205225_at,ESR1,2.3836E-12,6.97697E-09,-4.035568708,13.46298191,13.3801215,13.4232207,9.355941633,9.438063202,9.365613145
209988_s_at,ASCL1,3.76569E-12,8.25084E-09,5.812808938,4.358381522,4.158719445,3.991154443,9.938999138,10.06146346,9.946219623
219795_at,SLC6A14,3.86599E-12,8.25084E-09,5.655391376,4.066975402,3.830898958,4.149640692,9.75418233,9.685429145,9.574077705
229947_at,PI15,3.34578E-12,8.25084E-09,6.240403592,3.55003823,3.31468883,3.729386744,9.715760671,9.815946608,9.783617302
228904_at,HOXB3,4.2547E-12,8.30592E-09,4.131622693,4.818427746,4.702151177,4.731054762,8.811412485,8.959332484,8.875756796
226279_at,PRSS23,4.71343E-12,8.49684E-09,5.88684327,5.036536038,5.072875811,5.412276929,11.03735708,11.05720292,11.08765859
211548_s_at,HPGD,8.05845E-12,1.18139E-08,5.017333599,4.716514104,4.522561909,4.438611482,9.457756325,9.600986748,9.67094522
223631_s_at,C19orf33,7.55766E-12,1.18139E-08,-3.570725819,10.83684111,10.95169186,10.87819556,7.325687424,7.349432876,7.27943077
232377_at,NXPH1,7.8758E-12,1.18139E-08,-4.778131975,8.14640592,8.284212447,8.061838136,3.272664876,3.375512947,3.509882756
206569_at,IL24,8.87701E-12,1.22502E-08,4.090794849,4.736193352,4.702928846,4.526558916,8.709176953,8.794513496,8.734375214
204015_s_at,DUSP4,1.09363E-11,1.28428E-08,3.377458041,6.364496574,6.446619376,6.367404446,9.727413133,9.814278654,9.769202732
204914_s_at,SOX11,1.14698E-11,1.28428E-08,4.155050628,3.945576522,4.042667742,4.058887096,8.164406199,8.294236276,8.053640769
209387_s_at,TM4SF1,1.11648E-11,1.28428E-08,-3.792047218,10.32287605,10.22554289,10.35278375,6.467215196,6.603078874,6.454766959
225975_at,PCDH18,1.05378E-11,1.28428E-08,-3.898206256,8.134861867,8.130433152,7.97801949,4.131091802,4.157487386,4.260116552
1552367_a_at,SCIN,1.8011E-11,1.9188E-08,4.09081511,5.77788506,5.71256947,5.672717507,9.674505312,9.948429984,9.81268207
218807_at,VAV3,2.13373E-11,2.08137E-08,2.947104975,7.392536717,7.380026973,7.363113171,10.32068977,10.36001702,10.296285
226034_at,DUSP4,2.078E-11,2.08137E-08,3.687640188,5.465029086,5.677101537,5.501038169,9.207554024,9.282320115,9.216215218
1552365_at,SCIN,3.17834E-11,2.79687E-08,4.030137806,7.068220608,7.06389517,7.132662806,10.93926312,11.24044112,11.17548776
209386_at,TM4SF1,3.22332E-11,2.79687E-08,-3.952799485,11.35317507,11.44139704,11.42871086,7.288895029,7.494010448,7.581979047
212977_at,CXCR7,3.2071E-11,2.79687E-08,-3.071763078,13.12464594,13.08260849,13.1920933,10.11136716,10.06932971,10.00336163
224071_at,IL20,3.97457E-11,3.32516E-08,3.556779472,6.853415621,7.082878789,6.966291674,10.45722571,10.5217528,10.59394599
208949_s_at,LGALS3,4.4391E-11,3.59058E-08,-3.231632998,11.57924026,11.66084214,11.68757932,8.334834596,8.513406564,8.384521572
204014_at,DUSP4,4.6087E-11,3.60379E-08,4.272273653,5.432814797,5.64339309,5.261808653,9.705738126,9.760173501,9.688925872
201148_s_at,TIMP3,5.4998E-11,4.16084E-08,-3.915867529,10.56719171,10.71201635,10.58116589,6.572013081,6.875063611,6.665694672
222921_s_at,HEY2,5.88836E-11,4.31663E-08,3.976539373,4.107734831,3.831905403,4.042068133,7.849945931,7.99353982,8.067840735
206898_at,CDH19,6.29823E-11,4.4772E-08,-3.28502128,7.281939158,7.374047519,7.49755315,4.116261802,4.154734111,4.027480074
206042_x_at,PAR-SN /// SNORD107 /// SNRPN /// SNURF,7.64366E-11,5.11924E-08,4.16385249,4.819597504,4.782481011,4.447276073,8.840555714,8.832973051,8.867383292
232746_at,CXCR7,7.44382E-11,5.11924E-08,-3.511369424,8.472406054,8.698466777,8.709006646,5.144280481,5.170022746,5.031467978
228370_at,LOC100506948 /// SNORD107 /// SNORD115-13 /// SNORD115-26 /// SNORD115-7 /// SNORD116-28,7.88042E-11,5.13338E-08,3.345152098,3.317556195,3.352254904,3.392512609,6.617498032,6.855060183,6.625221786
204415_at,IFI6,8.97567E-11,5.69186E-08,2.872554653,7.813348257,7.850493713,7.694187608,10.59787135,10.67963814,10.69818405
203909_at,SLC9A6,9.26219E-11,5.71488E-08,2.538037977,5.961257845,5.908960454,5.922389093,8.49274807,8.495498362,8.418474891
