,,,,,,,,,,,,,SAMPLE_NAME,GEOR-00089,GEOR-00090,GEOR-00091,GEOR-00092,GEOR-00093,GEOR-00094,GEOR-00095,GEOR-00096,GEOR-00097,GEOR-00098,GEOR-00099,GEOR-00100,GEOR-00101,GEOR-00102,GEOR-00103,GEOR-00104,GEOR-00105,GEOR-00106,GEOR-00107,GEOR-00108
,,,,,,,,,,,,,SAMPLE_ID,2101754,2101755,2101756,2101757,2101758,2101759,2101760,2101761,2101762,2101763,2101764,2101765,2101766,2101767,2101768,2101769,2101770,2101771,2101772,2101773
,,,,,,,,,,,,,CLIENT_IDENTIFIER,LCC9_ctlsi_1,LCC9_ctlsi_2,LCC9_ctlsi_3,LCC9_ctlsi_4,LCC9_ctlsi_5,LCC9_EGR1si_1,LCC9_EGR1si_2,LCC9_EGR1si_3,LCC9_EGR1si_4,LCC9_EGR1si_5,LCC9_EV_1,LCC9_EV_2,LCC9_EV_3,LCC9_EV_4,LCC9_EV_5,LCC9_EGR1_1,LCC9_EGR1_2,LCC9_EGR1_3,LCC9_EGR1_4,LCC9_EGR1_5
,,,,,,,,,,,,,BRADFORD_PROTEIN,10.879,14.21,17.527,18.577,13.534,6.531,10.334,11.997,11.582,2.714,8.551,13.503,14.759,18.034,6.563,8.879,11.166,12.668,18.34,11.486
,,,,,,,,,,,,,CELL_LINE,LCC9 ctlsi,LCC9 ctlsi,LCC9 ctlsi,LCC9 ctlsi,LCC9 ctlsi,LCC9 EGR1si,LCC9 EGR1si,LCC9 EGR1si,LCC9 EGR1si,LCC9 EGR1si,LCC9 EV,LCC9 EV,LCC9 EV,LCC9 EV,LCC9 EV,LCC9 EGR1,LCC9 EGR1,LCC9 EGR1,LCC9 EGR1,LCC9 EGR1
,,,,,,,,,,,,,DATE,7/11/2014,7/18/2014,7/25/2014,8/1/2014,8/8/2014,7/11/2014,7/18/2014,7/25/2014,8/1/2014,8/8/2014,7/11/2014,7/18/2014,7/25/2014,8/1/2014,8/8/2014,7/11/2014,7/18/2014,7/25/2014,8/1/2014,8/8/2014
,,,,,,,,,,,,,GROUP_NUMBER,8,8,8,8,8,9,9,9,9,9,10,10,10,10,10,11,11,11,11,11
,,,,,,,,,,,,,RUN_DAY,2,1,1,2,1,2,1,1,2,1,2,1,1,2,1,2,1,1,2,1
,,,,,,,,,,,,,TUBE_ID,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
PATHWAY_SORTORDER,BIOCHEMICAL,SUPER_PATHWAY,SUB_PATHWAY,COMP_ID,PLATFORM,CHEMICAL_ID,RI,MASS,CAS,PUBCHEM,CHEMSPIDER,KEGG,                               Group   HMDB_ID,LCC9 ctlsi,LCC9 ctlsi,LCC9 ctlsi,LCC9 ctlsi,LCC9 ctlsi,LCC9 EGR1si,LCC9 EGR1si,LCC9 EGR1si,LCC9 EGR1si,LCC9 EGR1si,LCC9 EV,LCC9 EV,LCC9 EV,LCC9 EV,LCC9 EV,LCC9 EGR1,LCC9 EGR1,LCC9 EGR1,LCC9 EGR1,LCC9 EGR1
1471,1-arachidonoylglycerophosphoinositol*,Lipid,Lysolipid,34214,LC/MS Neg,100001654,5482,619.28888,,,,,HMDB61690,0.2603,0.7251,0.3616,0.0822,0.0822,1.2326,1.0457,2.2131,1.7926,1.6363,1.4039,2.8483,1.0000,1.2025,2.0118,2.0964,1.6035,1.7183,0.8038,1.6910
1545,1-eicosenoylglycerol,Lipid,Monoacylglycerol,35149,LC/MS Pos,100001477,6065,402.35779,,,21403139,,,1.6194,0.4162,0.8843,3.1692,1.1210,3.7238,0.7266,3.2905,7.1889,0.2241,0.8875,2.0170,1.6325,2.6155,2.6464,2.4654,1.3323,1.6922,3.3198,1.3248
1540,1-linoleoylglycerol (1-monolinolein),Lipid,Monoacylglycerol,27447,LC/MS Pos,100001040,5685,372.31084,2277-28-3,5283469,4446589,,,0.0816,0.0919,0.9761,3.8023,1.0239,0.0342,1.0961,4.6976,3.6786,7.4114,1.1006,0.7270,2.6861,3.7517,8.7734,2.6414,1.7946,0.6337,1.3513,3.2221
1409,1-linoleoylglycerophosphocholine (18:2n6),Lipid,Lysolipid,34419,LC/MS Pos,100001395,5575.9,520.33977,,11988421,10160888,C04100,HMDB10386,0.0845,0.5308,0.0845,0.0845,1.2655,1.4356,1.1714,1.4884,2.4385,0.4322,0.6782,0.7981,1.9006,1.5584,1.0061,0.0845,0.1816,0.0845,1.3894,0.7808
1446,1-linoleoylglycerophosphoethanolamine*,Lipid,Lysolipid,32635,LC/MS Neg,100001570,5900,476.27826,,52925130,21403170,,HMDB11507,0.6994,0.5002,0.4008,0.4876,0.5614,1.3137,0.6130,1.0580,2.9855,5.4258,0.9690,2.2285,0.5602,1.0624,4.7672,0.9215,0.9227,0.7633,1.0279,1.1450
